#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_1165:862940-863635|-   -            232 2809at766            -            212   2.7e-78  258.6  11.3   1   1   2.2e-78   2.4e-76  252.2  11.3     2   200     5   228     4   231 0.88 contig_1165_863 # 862940 # 863635 # -1 # ID=1_863;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.318
contig_1165:1161719-1163494|- -            592 2809at766            -            212   1.2e-16   57.2   3.7   1   3       3.7     4e+02   -3.4   0.1    85   111   265   292   263   299 0.70 contig_1165_1165 # 1161719 # 1163494 # -1 # ID=1_1165;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.317
contig_1165:1161719-1163494|- -            592 2809at766            -            212   1.2e-16   57.2   3.7   2   3   1.3e-07   1.4e-05   21.0   0.2     6    54   348   397   345   451 0.89 contig_1165_1165 # 1161719 # 1163494 # -1 # ID=1_1165;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.317
contig_1165:1161719-1163494|- -            592 2809at766            -            212   1.2e-16   57.2   3.7   3   3   2.3e-12   2.4e-10   36.5   0.1    92   193   475   575   463   587 0.78 contig_1165_1165 # 1161719 # 1163494 # -1 # ID=1_1165;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.317
contig_1165:1018725-1020470|- -            582 2809at766            -            212   1.3e-16   57.1   0.3   1   4       4.7   4.9e+02   -3.7   0.0   101   113   307   319   301   321 0.85 contig_1165_1012 # 1018725 # 1020470 # -1 # ID=1_1012;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.375
contig_1165:1018725-1020470|- -            582 2809at766            -            212   1.3e-16   57.1   0.3   2   4   3.2e-07   3.4e-05   19.7   0.1    15    57   346   389   334   393 0.82 contig_1165_1012 # 1018725 # 1020470 # -1 # ID=1_1012;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.375
contig_1165:1018725-1020470|- -            582 2809at766            -            212   1.3e-16   57.1   0.3   3   4       1.5   1.6e+02   -2.1   0.0    60    69   413   422   410   432 0.83 contig_1165_1012 # 1018725 # 1020470 # -1 # ID=1_1012;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.375
contig_1165:1018725-1020470|- -            582 2809at766            -            212   1.3e-16   57.1   0.3   4   4   1.9e-11     2e-09   33.5   0.0   101   187   474   560   471   572 0.79 contig_1165_1012 # 1018725 # 1020470 # -1 # ID=1_1012;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.375
contig_1165:932649-935054|+   -            802 2809at766            -            212    0.0037   13.1   0.1   1   2   0.00011     0.011   11.5   0.0    25    53   441   469   439   477 0.86 contig_1165_937 # 932649 # 935054 # 1 # ID=1_937;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.353
contig_1165:932649-935054|+   -            802 2809at766            -            212    0.0037   13.1   0.1   2   2       3.3   3.5e+02   -3.2   0.1   116   133   640   657   636   660 0.76 contig_1165_937 # 932649 # 935054 # 1 # ID=1_937;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.353
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco_downloads/lineages/rickettsiales_odb10/hmms/2809at766.hmm
# Target file:     private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20250828_Nanopore/wRi/assembly/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20250828_Nanopore/wRi/assembly/run_rickettsiales_odb10/hmmer_output/2809at766.out --cpu 1 /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco_downloads/lineages/rickettsiales_odb10/hmms/2809at766.hmm private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20250828_Nanopore/wRi/assembly/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly
# Date:            Fri Aug 29 11:53:22 2025
# [ok]
