#                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_63:21449-22144|+  -            232 2809at766            -            212   4.1e-79  261.4  10.1   1   1   2.7e-79     3e-77  255.3  10.1     2   200     5   228     4   231 0.90 contig_63_18 # 21449 # 22144 # 1 # ID=57_18;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.326
contig_73:31759-32433|+  -            225 2809at766            -            212   1.2e-23   80.2   1.0   1   3   2.8e-11   3.1e-09   33.1   0.3     5    51     6    53     3    65 0.86 contig_73_33 # 31759 # 32433 # 1 # ID=67_33;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.370
contig_73:31759-32433|+  -            225 2809at766            -            212   1.2e-23   80.2   1.0   2   3       2.2   2.4e+02   -2.5   0.0   170   190    61    81    58    95 0.68 contig_73_33 # 31759 # 32433 # 1 # ID=67_33;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.370
contig_73:31759-32433|+  -            225 2809at766            -            212   1.2e-23   80.2   1.0   3   3   4.6e-15   5.1e-13   45.4   0.0    85   161   127   203    95   217 0.92 contig_73_33 # 31759 # 32433 # 1 # ID=67_33;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.370
contig_63:8506-11301|+   -            932 2809at766            -            212   1.9e-20   69.7   3.7   1   4    0.0087      0.95    5.3   0.0    18    48    12    42     4    49 0.89 contig_63_7 # 8506 # 11301 # 1 # ID=57_7;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
contig_63:8506-11301|+   -            932 2809at766            -            212   1.9e-20   69.7   3.7   2   4   4.9e-08   5.3e-06   22.5   0.0    88   191   465   577   445   591 0.78 contig_63_7 # 8506 # 11301 # 1 # ID=57_7;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
contig_63:8506-11301|+   -            932 2809at766            -            212   1.9e-20   69.7   3.7   3   4    0.0022      0.24    7.3   0.2    16    48   609   641   599   653 0.86 contig_63_7 # 8506 # 11301 # 1 # ID=57_7;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
contig_63:8506-11301|+   -            932 2809at766            -            212   1.9e-20   69.7   3.7   4   4   5.5e-11     6e-09   32.1   0.0    70   175   790   894   774   922 0.79 contig_63_7 # 8506 # 11301 # 1 # ID=57_7;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
contig_69:62809-64590|-  -            594 2809at766            -            212     2e-18   63.1   1.7   1   3     0.077       8.5    2.2   0.1   138   176   244   282   239   289 0.90 contig_69_72 # 62809 # 64590 # -1 # ID=62_72;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.352
contig_69:62809-64590|-  -            594 2809at766            -            212     2e-18   63.1   1.7   2   3   2.4e-07   2.6e-05   20.2   0.1     6    55   344   394   339   401 0.89 contig_69_72 # 62809 # 64590 # -1 # ID=62_72;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.352
contig_69:62809-64590|-  -            594 2809at766            -            212     2e-18   63.1   1.7   3   3     1e-12   1.1e-10   37.8   0.0    97   195   476   573   458   583 0.81 contig_69_72 # 62809 # 64590 # -1 # ID=62_72;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.352
contig_68:44009-44632|+  -            208 2809at766            -            212   1.6e-17   60.1   0.0   1   2   6.2e-11   6.8e-09   32.0   0.0     5    55     1    51     1    55 0.95 contig_68_33 # 44009 # 44632 # 1 # ID=61_33;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.361
contig_68:44009-44632|+  -            208 2809at766            -            212   1.6e-17   60.1   0.0   2   2   3.4e-09   3.7e-07   26.3   0.0    81   160   107   185    92   195 0.87 contig_68_33 # 44009 # 44632 # 1 # ID=61_33;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.361
contig_121:11207-12982|+ -            592 2809at766            -            212   1.3e-16   57.2   3.7   1   3       4.1   4.4e+02   -3.4   0.1    85   111   265   292   263   299 0.70 contig_121_7 # 11207 # 12982 # 1 # ID=17_7;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.317
contig_121:11207-12982|+ -            592 2809at766            -            212   1.3e-16   57.2   3.7   2   3   1.4e-07   1.6e-05   21.0   0.2     6    54   348   397   345   451 0.89 contig_121_7 # 11207 # 12982 # 1 # ID=17_7;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.317
contig_121:11207-12982|+ -            592 2809at766            -            212   1.3e-16   57.2   3.7   3   3   2.5e-12   2.7e-10   36.5   0.1    92   193   475   575   463   587 0.78 contig_121_7 # 11207 # 12982 # 1 # ID=17_7;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.317
contig_54:13766-15511|+  -            582 2809at766            -            212   1.7e-16   56.8   0.4   1   4         5   5.5e+02   -3.7   0.0   101   113   307   319   301   321 0.85 contig_54_15 # 13766 # 15511 # 1 # ID=50_15;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.377
contig_54:13766-15511|+  -            582 2809at766            -            212   1.7e-16   56.8   0.4   2   4   3.5e-07   3.8e-05   19.7   0.1    15    57   346   389   334   393 0.82 contig_54_15 # 13766 # 15511 # 1 # ID=50_15;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.377
contig_54:13766-15511|+  -            582 2809at766            -            212   1.7e-16   56.8   0.4   3   4       1.7   1.8e+02   -2.1   0.0    60    69   413   422   410   432 0.83 contig_54_15 # 13766 # 15511 # 1 # ID=50_15;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.377
contig_54:13766-15511|+  -            582 2809at766            -            212   1.7e-16   56.8   0.4   4   4   2.4e-11   2.6e-09   33.3   0.0   101   187   474   560   472   572 0.80 contig_54_15 # 13766 # 15511 # 1 # ID=50_15;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.377
contig_72:57834-60239|-  -            802 2809at766            -            212    0.0041   13.1   0.1   1   2   0.00012     0.013   11.5   0.0    25    53   441   469   439   477 0.86 contig_72_59 # 57834 # 60239 # -1 # ID=66_59;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.354
contig_72:57834-60239|-  -            802 2809at766            -            212    0.0041   13.1   0.1   2   2       3.6   3.9e+02   -3.2   0.1   116   133   640   657   636   660 0.76 contig_72_59 # 57834 # 60239 # -1 # ID=66_59;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.354
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco_downloads/lineages/rickettsiales_odb10/hmms/2809at766.hmm
# Target file:     private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20251218_Merrill23_wRi/wRi/assembly/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20251218_Merrill23_wRi/wRi/assembly/run_rickettsiales_odb10/hmmer_output/2809at766.out --cpu 1 /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco_downloads/lineages/rickettsiales_odb10/hmms/2809at766.hmm private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20251218_Merrill23_wRi/wRi/assembly/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly
# Date:            Fri Jan 16 13:07:59 2026
# [ok]
