#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_1165_pilon:1010682-1012427|- -            582 300at766             -            479    8e-204  673.8   8.5   1   1  1.5e-205  1.7e-203  672.6   8.5     4   479    18   562    15   562 0.90 contig_1165_pilon_993 # 1010682 # 1012427 # -1 # ID=1_993;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.377
contig_1165_pilon:869647-872442|-   -            932 300at766             -            479   7.9e-15   50.5   1.8   2   4   1.3e-06   0.00015   16.6   0.0   388   462   474   551   461   573 0.84 contig_1165_pilon_860 # 869647 # 872442 # -1 # ID=1_860;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
contig_1165_pilon:869647-872442|-   -            932 300at766             -            479   7.9e-15   50.5   1.8   3   4   0.00028     0.031    8.9   0.0   258   305   594   641   587   662 0.81 contig_1165_pilon_860 # 869647 # 872442 # -1 # ID=1_860;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
contig_1165_pilon:869647-872442|-   -            932 300at766             -            479   7.9e-15   50.5   1.8   4   4   1.6e-06   0.00019   16.3   0.0   392   464   818   894   810   916 0.79 contig_1165_pilon_860 # 869647 # 872442 # -1 # ID=1_860;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco_downloads/lineages/rickettsiales_odb10/hmms/300at766.hmm
# Target file:     private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20250828_Nanopore/wRi/polished/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20250828_Nanopore/wRi/polished/run_rickettsiales_odb10/hmmer_output/300at766.out --cpu 1 /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco_downloads/lineages/rickettsiales_odb10/hmms/300at766.hmm private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20250828_Nanopore/wRi/polished/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly
# Date:            Fri Aug 29 11:49:11 2025
# [ok]
