#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_1165_pilon:855096-855791|-   -            232 2809at766            -            212   3.6e-79  261.4  10.1   1   1   2.5e-79   2.6e-77  255.3  10.1     2   200     5   228     4   231 0.90 contig_1165_pilon_841 # 855096 # 855791 # -1 # ID=1_841;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.326
contig_1165_pilon:1072256-1072930|+ -            225 2809at766            -            212     1e-23   80.2   1.0   1   3   2.6e-11   2.7e-09   33.1   0.3     5    51     6    53     3    65 0.86 contig_1165_pilon_1054 # 1072256 # 1072930 # 1 # ID=1_1054;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.370
contig_1165_pilon:1072256-1072930|+ -            225 2809at766            -            212     1e-23   80.2   1.0   2   3         2   2.1e+02   -2.5   0.0   170   190    61    81    58    95 0.68 contig_1165_pilon_1054 # 1072256 # 1072930 # 1 # ID=1_1054;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.370
contig_1165_pilon:1072256-1072930|+ -            225 2809at766            -            212     1e-23   80.2   1.0   3   3   4.3e-15   4.4e-13   45.4   0.0    85   161   127   203    95   217 0.92 contig_1165_pilon_1054 # 1072256 # 1072930 # 1 # ID=1_1054;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.370
contig_1165_pilon:869647-872442|-   -            932 2809at766            -            212   1.7e-20   69.7   3.7   1   4     0.008      0.83    5.3   0.0    18    48    12    42     4    49 0.89 contig_1165_pilon_860 # 869647 # 872442 # -1 # ID=1_860;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
contig_1165_pilon:869647-872442|-   -            932 2809at766            -            212   1.7e-20   69.7   3.7   2   4   4.5e-08   4.7e-06   22.5   0.0    88   191   465   577   445   591 0.78 contig_1165_pilon_860 # 869647 # 872442 # -1 # ID=1_860;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
contig_1165_pilon:869647-872442|-   -            932 2809at766            -            212   1.7e-20   69.7   3.7   3   4     0.002      0.21    7.3   0.2    16    48   609   641   599   653 0.86 contig_1165_pilon_860 # 869647 # 872442 # -1 # ID=1_860;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
contig_1165_pilon:869647-872442|-   -            932 2809at766            -            212   1.7e-20   69.7   3.7   4   4     5e-11   5.2e-09   32.1   0.0    70   175   790   894   774   922 0.79 contig_1165_pilon_860 # 869647 # 872442 # -1 # ID=1_860;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
contig_1165_pilon:104437-105060|+   -            208 2809at766            -            212   1.4e-17   60.1   0.0   1   2   5.7e-11   5.9e-09   32.0   0.0     5    55     1    51     1    55 0.95 contig_1165_pilon_93 # 104437 # 105060 # 1 # ID=1_93;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.361
contig_1165_pilon:104437-105060|+   -            208 2809at766            -            212   1.4e-17   60.1   0.0   2   2   3.1e-09   3.3e-07   26.3   0.0    81   160   107   185    92   195 0.87 contig_1165_pilon_93 # 104437 # 105060 # 1 # ID=1_93;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.361
contig_1165_pilon:1153680-1155455|- -            592 2809at766            -            212   1.1e-16   57.2   3.7   1   3       3.7   3.9e+02   -3.4   0.1    85   111   265   292   263   299 0.70 contig_1165_pilon_1143 # 1153680 # 1155455 # -1 # ID=1_1143;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.317
contig_1165_pilon:1153680-1155455|- -            592 2809at766            -            212   1.1e-16   57.2   3.7   2   3   1.3e-07   1.4e-05   21.0   0.2     6    54   348   397   345   451 0.89 contig_1165_pilon_1143 # 1153680 # 1155455 # -1 # ID=1_1143;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.317
contig_1165_pilon:1153680-1155455|- -            592 2809at766            -            212   1.1e-16   57.2   3.7   3   3   2.3e-12   2.4e-10   36.5   0.1    92   193   475   575   463   587 0.78 contig_1165_pilon_1143 # 1153680 # 1155455 # -1 # ID=1_1143;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.317
contig_1165_pilon:1010682-1012427|- -            582 2809at766            -            212   1.5e-16   56.8   0.4   1   4       4.7   4.8e+02   -3.7   0.0   101   113   307   319   301   321 0.85 contig_1165_pilon_993 # 1010682 # 1012427 # -1 # ID=1_993;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.377
contig_1165_pilon:1010682-1012427|- -            582 2809at766            -            212   1.5e-16   56.8   0.4   2   4   3.2e-07   3.3e-05   19.7   0.1    15    57   346   389   334   393 0.82 contig_1165_pilon_993 # 1010682 # 1012427 # -1 # ID=1_993;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.377
contig_1165_pilon:1010682-1012427|- -            582 2809at766            -            212   1.5e-16   56.8   0.4   3   4       1.5   1.6e+02   -2.1   0.0    60    69   413   422   410   432 0.83 contig_1165_pilon_993 # 1010682 # 1012427 # -1 # ID=1_993;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.377
contig_1165_pilon:1010682-1012427|- -            582 2809at766            -            212   1.5e-16   56.8   0.4   4   4   2.2e-11   2.3e-09   33.3   0.0   101   187   474   560   472   572 0.80 contig_1165_pilon_993 # 1010682 # 1012427 # -1 # ID=1_993;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.377
contig_1165_pilon:924672-927077|+   -            802 2809at766            -            212    0.0036   13.1   0.1   1   2   0.00011     0.011   11.5   0.0    25    53   441   469   439   477 0.86 contig_1165_pilon_916 # 924672 # 927077 # 1 # ID=1_916;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.353
contig_1165_pilon:924672-927077|+   -            802 2809at766            -            212    0.0036   13.1   0.1   2   2       3.3   3.4e+02   -3.2   0.1   116   133   640   657   636   660 0.76 contig_1165_pilon_916 # 924672 # 927077 # 1 # ID=1_916;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.353
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco_downloads/lineages/rickettsiales_odb10/hmms/2809at766.hmm
# Target file:     private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20250828_Nanopore/wRi/polished/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20250828_Nanopore/wRi/polished/run_rickettsiales_odb10/hmmer_output/2809at766.out --cpu 1 /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco_downloads/lineages/rickettsiales_odb10/hmms/2809at766.hmm private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20250828_Nanopore/wRi/polished/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly
# Date:            Fri Aug 29 11:49:11 2025
# [ok]
