#                                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
wRi_Merrill23_polished:222954-223649|-   -            232 2809at766            -            212   3.7e-79  261.4  10.1   1   1     3e-79   2.7e-77  255.3  10.1     2   200     5   228     4   231 0.90 wRi_Merrill23_polished_216 # 222954 # 223649 # -1 # ID=1_216;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.326
wRi_Merrill23_polished:482310-482984|+   -            225 2809at766            -            212     1e-23   80.2   1.0   1   3     3e-11   2.7e-09   33.1   0.3     5    51     6    53     3    65 0.86 wRi_Merrill23_polished_466 # 482310 # 482984 # 1 # ID=1_466;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.370
wRi_Merrill23_polished:482310-482984|+   -            225 2809at766            -            212     1e-23   80.2   1.0   2   3       2.3   2.1e+02   -2.5   0.0   170   190    61    81    58    95 0.68 wRi_Merrill23_polished_466 # 482310 # 482984 # 1 # ID=1_466;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.370
wRi_Merrill23_polished:482310-482984|+   -            225 2809at766            -            212     1e-23   80.2   1.0   3   3     5e-15   4.5e-13   45.4   0.0    85   161   127   203    95   217 0.92 wRi_Merrill23_polished_466 # 482310 # 482984 # 1 # ID=1_466;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.370
wRi_Merrill23_polished:233797-236592|-   -            932 2809at766            -            212   1.7e-20   69.7   3.7   1   4    0.0093      0.84    5.3   0.0    18    48    12    42     4    49 0.89 wRi_Merrill23_polished_227 # 233797 # 236592 # -1 # ID=1_227;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
wRi_Merrill23_polished:233797-236592|-   -            932 2809at766            -            212   1.7e-20   69.7   3.7   2   4   5.3e-08   4.7e-06   22.5   0.0    88   191   465   577   445   591 0.78 wRi_Merrill23_polished_227 # 233797 # 236592 # -1 # ID=1_227;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
wRi_Merrill23_polished:233797-236592|-   -            932 2809at766            -            212   1.7e-20   69.7   3.7   3   4    0.0024      0.21    7.3   0.2    16    48   609   641   599   653 0.86 wRi_Merrill23_polished_227 # 233797 # 236592 # -1 # ID=1_227;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
wRi_Merrill23_polished:233797-236592|-   -            932 2809at766            -            212   1.7e-20   69.7   3.7   4   4   5.9e-11   5.3e-09   32.1   0.0    70   175   790   894   774   922 0.79 wRi_Merrill23_polished_227 # 233797 # 236592 # -1 # ID=1_227;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
wRi_Merrill23_polished:677944-679725|-   -            594 2809at766            -            212   1.8e-18   63.1   1.7   1   3     0.083       7.5    2.2   0.1   138   176   244   282   239   289 0.90 wRi_Merrill23_polished_655 # 677944 # 679725 # -1 # ID=1_655;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.352
wRi_Merrill23_polished:677944-679725|-   -            594 2809at766            -            212   1.8e-18   63.1   1.7   2   3   2.6e-07   2.3e-05   20.2   0.1     6    55   344   394   339   401 0.89 wRi_Merrill23_polished_655 # 677944 # 679725 # -1 # ID=1_655;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.352
wRi_Merrill23_polished:677944-679725|-   -            594 2809at766            -            212   1.8e-18   63.1   1.7   3   3   1.1e-12     1e-10   37.8   0.0    97   195   476   573   458   583 0.81 wRi_Merrill23_polished_655 # 677944 # 679725 # -1 # ID=1_655;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.352
wRi_Merrill23_polished:824392-825015|-   -            208 2809at766            -            212   1.4e-17   60.1   0.0   1   2   6.7e-11     6e-09   32.0   0.0     5    55     1    51     1    55 0.95 wRi_Merrill23_polished_804 # 824392 # 825015 # -1 # ID=1_804;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.364
wRi_Merrill23_polished:824392-825015|-   -            208 2809at766            -            212   1.4e-17   60.1   0.0   2   2   3.7e-09   3.3e-07   26.3   0.0    81   160   107   185    92   195 0.87 wRi_Merrill23_polished_804 # 824392 # 825015 # -1 # ID=1_804;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.364
wRi_Merrill23_polished:54722-56497|-     -            592 2809at766            -            212   1.2e-16   57.2   3.7   1   3       4.4   3.9e+02   -3.4   0.1    85   111   265   292   263   299 0.70 wRi_Merrill23_polished_50 # 54722 # 56497 # -1 # ID=1_50;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.317
wRi_Merrill23_polished:54722-56497|-     -            592 2809at766            -            212   1.2e-16   57.2   3.7   2   3   1.6e-07   1.4e-05   21.0   0.2     6    54   348   397   345   451 0.89 wRi_Merrill23_polished_50 # 54722 # 56497 # -1 # ID=1_50;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.317
wRi_Merrill23_polished:54722-56497|-     -            592 2809at766            -            212   1.2e-16   57.2   3.7   3   3   2.7e-12   2.4e-10   36.5   0.1    92   193   475   575   463   587 0.78 wRi_Merrill23_polished_50 # 54722 # 56497 # -1 # ID=1_50;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.317
wRi_Merrill23_polished:561185-562960|-   -            592 2809at766            -            212   1.2e-16   57.2   3.7   1   3       4.4   3.9e+02   -3.4   0.1    85   111   265   292   263   299 0.70 wRi_Merrill23_polished_538 # 561185 # 562960 # -1 # ID=1_538;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.317
wRi_Merrill23_polished:561185-562960|-   -            592 2809at766            -            212   1.2e-16   57.2   3.7   2   3   1.6e-07   1.4e-05   21.0   0.2     6    54   348   397   345   451 0.89 wRi_Merrill23_polished_538 # 561185 # 562960 # -1 # ID=1_538;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.317
wRi_Merrill23_polished:561185-562960|-   -            592 2809at766            -            212   1.2e-16   57.2   3.7   3   3   2.7e-12   2.4e-10   36.5   0.1    92   193   475   575   463   587 0.78 wRi_Merrill23_polished_538 # 561185 # 562960 # -1 # ID=1_538;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.317
wRi_Merrill23_polished:523853-525598|-   -            582 2809at766            -            212   1.5e-16   56.8   0.4   1   4       5.4   4.9e+02   -3.7   0.0   101   113   307   319   301   321 0.85 wRi_Merrill23_polished_502 # 523853 # 525598 # -1 # ID=1_502;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.377
wRi_Merrill23_polished:523853-525598|-   -            582 2809at766            -            212   1.5e-16   56.8   0.4   2   4   3.7e-07   3.4e-05   19.7   0.1    15    57   346   389   334   393 0.82 wRi_Merrill23_polished_502 # 523853 # 525598 # -1 # ID=1_502;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.377
wRi_Merrill23_polished:523853-525598|-   -            582 2809at766            -            212   1.5e-16   56.8   0.4   3   4       1.8   1.6e+02   -2.1   0.0    60    69   413   422   410   432 0.83 wRi_Merrill23_polished_502 # 523853 # 525598 # -1 # ID=1_502;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.377
wRi_Merrill23_polished:523853-525598|-   -            582 2809at766            -            212   1.5e-16   56.8   0.4   4   4   2.6e-11   2.3e-09   33.3   0.0   101   187   474   560   472   572 0.80 wRi_Merrill23_polished_502 # 523853 # 525598 # -1 # ID=1_502;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.377
wRi_Merrill23_polished:289119-291524|+   -            802 2809at766            -            212    0.0037   13.1   0.1   1   2   0.00012     0.011   11.5   0.0    25    53   441   469   439   477 0.86 wRi_Merrill23_polished_280 # 289119 # 291524 # 1 # ID=1_280;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.353
wRi_Merrill23_polished:289119-291524|+   -            802 2809at766            -            212    0.0037   13.1   0.1   2   2       3.8   3.5e+02   -3.2   0.1   116   133   640   657   636   660 0.76 wRi_Merrill23_polished_280 # 289119 # 291524 # 1 # ID=1_280;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.353
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco_downloads/lineages/rickettsiales_odb10/hmms/2809at766.hmm
# Target file:     private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20251218_Merrill23_wRi/wRi/polished/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20251218_Merrill23_wRi/wRi/polished/run_rickettsiales_odb10/hmmer_output/2809at766.out --cpu 1 /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco_downloads/lineages/rickettsiales_odb10/hmms/2809at766.hmm private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20251218_Merrill23_wRi/wRi/polished/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly
# Date:            Fri Jan 16 13:08:19 2026
# [ok]
